title,date,text
Although we have translated selected Indian rupee amounts in this document into United States dollars for convenience, this does not mean that the Indian rupee amounts referred to could have been, or could be, converted to United States dollars at any particular rate, the rates stated above, or at all. Unless otherwise stated, all translations from Indian rupees to United States dollars are based on the noon buying rate in the City of New York for cable transfers in Indian rupees at US$ 1.00 = Rs. 73.14 on March 31, 2021. The Federal Reserve Bank of New York certifies this rate for customs purposes on each date the rate is given. The noon buying rate on July 16, 2021 was Rs. 74.61 per US$ 1.00.

Table of Contents

FORWARD-LOOKING STATEMENTS

We have included statements in this report which contain words or phrases such as 'will', 'aim', 'will likely result', 'believe', 'expect', 'will continue', 'anticipate', 'estimate', 'intend', 'plan', 'contemplate', 'seek to', 'future', 'objective', 'goal', 'project', 'should', 'will pursue' and similar expressions or variations of these expressions, that are 'forward-looking statements'. Actual results may differ materially from those suggested by the forward-looking statements due to certain risks or uncertainties associated with our expectations with respect to, but not limited to, our ability to implement our strategy successfully, the market acceptance of and demand for various banking services, future levels of our non-performing/impaired assets, our growth and expansion, the adequacy of our provision/allowance for credit and investment losses, technological changes, volatility in investment income, our ability to market new products, cash flow projections, the outcome of any legal, tax or regulatory proceedings in India and in other jurisdictions we are or become a party to, the future impact of new accounting standards, our ability to pay dividends, the impact of changes in banking regulations and other regulatory changes on us in India and other jurisdictions, our ability to roll over our short-term funding sources and our exposure to market and operational risks. By their nature, certain of the market risk disclosures are only estimates and could be materially different from what may actually occur in the future. As a result, actual future gains, losses or impact on net income could materially differ from those that have been estimated.

In addition, other factors that could cause actual results to differ materially from those estimated by the forward-looking statements contained in this document include, but are not limited to: general economic and political conditions, instability or uncertainty in India and the other countries which have an impact on our business activities or investments caused by any factor, including terrorist attacks in India, the United States or elsewhere, anti-terrorist or other attacks by the United States, a United States-led coalition or any other country, tensions between India and Pakistan related to the Kashmir region or between India and China, military armament or social unrest in any part of India; the monetary and interest rate policies of the Government of India, natural calamities, pandemics, inflation, deflation, unanticipated turbulence in interest rates, foreign exchange rates, equity prices or other rates or prices; the performance of the financial markets in India and globally, changes in Indian and foreign laws and regulations, including tax, accounting and banking regulations, changes in competition and the pricing environment in India, and regional or general changes in asset valuations. For further discussion on the factors that could cause actual results to differ, see '

Risk Factors

'.

Table of Contents

BUSINESS

Overview

We are a new generation private sector bank in India. Our goal is to be the preferred provider of financial services to our customers in India across metro, urban, semi-urban and rural markets. Our strategy is to provide a comprehensive range of financial products and services to our customers through multiple distribution channels, with what we believe are high-quality services, advanced technology platforms and superior execution.

We have three principal business activities: retail banking, wholesale banking and treasury operations. Our retail banking products include deposit products, loans including loans to small and medium enterprises, credit cards, debit cards, third-party mutual funds and insurance products, bill payment services, and other products and services. With respect to wholesale banking, we offer customers a range of financing products, such as documentary credits and bank guarantees, foreign exchange and derivative products, investment banking services and corporate deposit products. We offer a range of deposit and transaction banking services, such as cash management, custodial and clearing bank services and correspondent banking. Our treasury operations manage our balance sheet, and include customer-driven services such as advisory services related to foreign exchange and derivative transactions for corporate and institutional customers, supplemented by proprietary trading, including Indian Government securities. Further, our non-banking finance company ('NBFC') subsidiary HDB Financial Services Limited ('HDBFSL') offers a wide range of loans and asset finance products including mortgage loans, commercial vehicle loans, consumer loans and gold loans, as well as a range of business process outsourcing solutions. We provide our customers with brokerage accounts through our subsidiary HDFC Securities Limited ('HSL'), which we believe is one of the leading stock brokerage companies in India and which offers a suite of products and services across various asset classes such as equity, gold and debt, among others.

As a result of trade tensions and geopolitical risks, global growth slowed to 2.8 percent in 2019 from 3.6 percent in 2018, according to IMF estimates. In 2020, growth declined by a further 3.3 percent, driven by the COVID-19 pandemic and related lockdowns and movement restrictions across the globe which caused GDP to contract in major economies. Going forward, we expect the global economic recovery to be driven by emerging markets and the United States. The IMF projects global GDP growth at 6 percent in 2021, with China and the United States growing at 8.4 percent and 6.4 percent, respectively.

The COVID-19 pandemic also adversely impacted India's economic growth. The Government imposed a strict lockdown between March 25, 2020 and May 31, 2020. While this helped to control the spread of the pandemic during the first wave, it adversely impacted all sectors of the economy, with the consumption and services sectors worst affected. India's GDP contracted by 24.4 percent in the first quarter of fiscal 2021 as a result of stay at home orders, restrictions on production and significantly decreased sales of non-essential items. In addition, India experienced an increase in unemployment, with the unemployment rate increasing to 11.90 percent as of May 2021 compared to 7.2 percent in January 2020 according to the Center for Monitoring Indian Economy. In response to the pandemic and its economic impact, the Government and the RBI announced several measures during fiscal 2021. These included easing the policy rate, imposing a temporary moratorium on debt repayments and halting dividend payments by banks, among other things. Together with the easing of restrictions and improved hiring, economic activity started to improve again from the second quarter of fiscal 2021. GDP rebounded with 0.5 percent year on year growth in the third quarter of fiscal 2021 as compared to a contraction of 7.4 percent in the second quarter of fiscal 2021 and 24.4 percent in the first quarter of fiscal 2021. In the third quarter, from a supply-side perspective, GDP growth was primarily driven by agriculture (4.5 percent), manufacturing (1.7 percent) and construction and utilities (6.5 percent). From a demand-side perspective, the primary driver was investment, which recorded year on year growth of 2.6 percent in the third quarter, as compared to a contraction of 46.6 percent in the first quarter and a contraction of 8.6 percent in the second quarter of fiscal 2021. The fourth quarter of the fiscal 2021 reaffirmed that the economy was recovering as growth momentum picked up pace. India's GDP grew by 1.6 percent in the fourth quarter, compared to 0.5 percent in the previous quarter due to improvements across all sectors of the economy. For the full year, India's GDP declined by 7.3 percent in fiscal 2021 compared to growth of 4.0 percent in the prior year.

More recently, the 'second wave' of COVID-19 and related containment measures have adversely affected the pace of recovery for the Indian economy during April 2021 and May 2021. The majority of economic high-frequency indicators (i.e., economic indicators that are available more frequently than traditional economic data) decreased in April 2021 after having demonstrated solid growth during March 2021. However, given lockdowns and other restrictive measures were only being imposed at a local level, instead of nationally, the impact of the 'second wave' on the economy is expected to be less severe than the 'first wave'. Furthermore, the increasing availability of COVID-19 vaccinations in fiscal 2022 is expected to have a significantly positive impact on economic activity.

Table of Contents

We expect the Indian economy to return to its path to recovery beginning in the second quarter of fiscal 2022. We estimate that GDP growth will be 9.1 percent in fiscal 2022.

The economic disruptions caused by COVID-19 also had a bearing on inflation. The headline consumer price index ('CPI') tracked above the RBI's upper tolerance of 6.0 percent between April and November 2020. The sharp jump in headline CPI was the result of supply bottlenecks that kept food inflation elevated for most of fiscal 2021. Headline CPI averaged 6.7 percent in the first half of fiscal 2021, before decreasing to 5.6 percent in the second half of fiscal 2021. For the full year, headline CPI increased to 6.2 percent in fiscal 2021, compared to 4.8 percent in fiscal 2020. More recently, headline CPI stood at 6.3 percent in June 2021, remaining above the RBI's threshold for the second consecutive month. Going forward, higher crude oil prices and input prices, along with a rebound in demand are likely to keep inflation at elevated levels for the remainder of fiscal 2022. We expect inflation to average 6.0 percent in fiscal 2022.

In response to the adverse impact of the COVID-19 pandemic and related disruptions, the Government significantly increased spending and revised upwards its fiscal deficit target for fiscal 2021. The revised target was 9.5 percent of GDP compared to the previously budgeted estimate of 3.5 percent. According to the provisional data of the Controller of General Accounts of India, the fiscal deficit in fiscal 2021 was 9.3 percent, compared to 4.6 percent in fiscal 2020. For fiscal 2022, the Government is targeting a fiscal deficit of 6.8 percent and plans to improve the quality of its spending. We expect the fiscal deficit to rise to 7.3 percent of GDP for fiscal 2022, reflecting the cost of the measures announced in June 2021 (including, among other things, free food grains, and an additional fertilizer subsidy), which aim to mitigate the impact of the second wave of COVID-19.

Since commencing operations in January 1995 we have grown rapidly. As of March 31, 2021, we had 5,608 branches and 16,087 ATMs / Cash Deposit and Withdrawal Machines ('CDMs') in 2,902 cities and towns and 61.9 million customers. In addition, we had 15,756 business correspondents, which are primarily manned by common service centers ('CSCs'). On account of the expansion in our geographical reach and the resultant increase in market penetration, our assets have grown from Rs. 15,961.9 billion as of March 31, 2020 to Rs. 17,979.8 billion as of March 31, 2021. Our net income has increased from Rs. 260.3 billion for fiscal 2020 to Rs. 326.0 billion for fiscal 2021. Our loans and deposits as of March 31, 2021 were at Rs. 11,700.2 billion and Rs. 13,337.2 billion respectively. Across business cycles, we believe we have maintained a strong balance sheet and a low cost of funds. As of March 31, 2021, gross non-performing customer assets as a percentage of gross customer assets was 1.70 percent. Our net customer assets represented 91.8 percent of our deposits and our deposits represented 74.2 percent of our total liabilities and shareholders' equity. The average non-interest-bearing current accounts and low-interest-bearing savings accounts represented 40.0 percent of average total deposits for the year ended March 31, 2021. These low-cost deposits and the cash float associated with our transactional services led to an average cost of funds (including equity) of 3.6 percent for fiscal 2021. We had a return on equity (net income as a percentage of average total shareholders' equity) of 15.1 percent for fiscal 2020 and 16.1 percent for fiscal 2021. As at March 31, 2021 we had a total capital adequacy ratio (calculated pursuant to RBI guidelines) of 18.79 percent. Our Common Equity Tier I ('CET-I') ratio was 16.85 percent as at March 31, 2021.

About Our Bank

HDFC Bank was incorporated in August 1994 and commenced operations as a scheduled commercial bank in January 1995. In 2000, we merged with Times Bank Limited and, in 2008, we acquired Centurion Bank of Punjab Limited ('CBoP'). We are part of the HDFC Group of companies established by our principal shareholder, Housing Development Finance Corporation Limited ('HDFC Limited'), a listed public limited company established under the laws of India. HDFC Limited is primarily engaged in financial services, including mortgages, property-related lending and deposit services. The subsidiaries and associated companies of HDFC Limited are also largely engaged in a range of financial services, including asset management, life insurance and general insurance. HDFC Limited and its subsidiaries (together, 'HDFC Group') owned 21.1 percent of our outstanding equity shares as of March 31, 2021 and our Chairperson and Managing Director are nominated by HDFC Limited and appointed with the approval of our shareholders and the RBI. See also 'Principal Shareholders'. We have no agreements with HDFC Limited or any of its group companies that restrict us from competing with them or that restrict HDFC Limited or any of its group companies from competing with our business. We currently distribute products of HDFC Limited and its group companies, such as home loans of HDFC Limited, life and general insurance products of HDFC Life Insurance Company Limited and HDFC ERGO General Insurance Company Limited, respectively, and mutual funds of HDFC Asset Management Company Limited.

We have two subsidiaries: HDBFSL and HSL. HDBFSL is a non-deposit-taking NBFC engaged primarily in the business of retail asset financing while HSL is primarily in the business of providing brokerage and other investment services. Effective April 1, 2018 the financial results of our subsidiary companies have been prepared in accordance with notified Indian Accounting Standards (April 1, 2017 being the transition date). HDBFSL's total assets and shareholders' equity as of March 31, 2021 were Rs. 626.4 billion and Rs. 84.5 billion, respectively. HDBFSL's net income was Rs. 3.9 billion for fiscal 2021. As of March 31, 2021, HDBFSL had 1,319 branches across 959 cities in India. HSL's total assets and shareholders' equity as of March 31, 2021 were Rs. 47.6 billion and Rs. 14.8 billion, respectively. HSL's net income was Rs. 7.0 billion for fiscal 2021. On December 1, 2016, Atlas Documentary Facilitators Company Private Ltd. which provided back office transaction processing services to us, and its subsidiary HBL Global Private Ltd. which provided direct sales support for certain products of the Bank, amalgamated with HDBFSL.

Table of Contents

Our principal corporate and registered office is located at HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai 400 013, India. Our telephone number is91-22-6652-1000.Our agent in the United States for the 2001, 2005, 2007, 2015 and 2018 ADS offerings is Depositary Management Corporation, 570 Lexington Avenue, New York, NY 10022.

Our Competitive Strengths

We attribute our growth and continuing success to the following competitive strengths:

We have a strong brand and extensive reach through a large distribution network

At HDFC Bank, we are focused on offering a comprehensive range of financial products and solutions tailored to meet the diverse needs of our customers. We are driven by our core values: customer focus, operational excellence, product leadership, sustainability and people. This has helped us grow and achieve our status as one of the largest private sector banks in India, while delivering value to our customers, stakeholders, the Government, employees and the community. We believe HDFC Bank is one of the most trusted and preferred bank brands in India. We have been acknowledged as 'India's Most Valuable Brand' by BrandZ for the seventh consecutive year. We have also been acknowledged as 'India's Best Bank' by Euromoney Awards for Excellence 2020. We have capitalized on our strong brand presence by establishing an extensive banking network throughout India, serving a broad range of customers in metro, urban, semi-urban and rural regions. As of March 31, 2021, we had 5,608 branches and 16,087 ATMs / CDMs in 2,902 cities and towns and over 61.0 million customers, and of our total branches, 49.8 percent were in the semi-urban and rural areas. In addition, we had 15,756 business correspondents, which are primarily manned by CSCs. Our extensive branch network is further complemented by our digital platforms, including internet banking, mobile banking, WhatsApp banking and phone banking solutions, to provide our customers with a lifestyle banking experience, which is categorized into seven categories: Pay, Save, Invest, Borrow, Shop, Trade and Insure. Our focus is on delivering a highly personalized multi-channel experience to our customers.

We provide a wide range of products and high-quality service to our clients in order to meet their banking needs

Whether in retail banking, wholesale banking or treasury operations, we consider ourselves a 'one-stop-shop' for our customers' banking needs. We consider our high-quality service offerings to be a vital component of our business and believe in pursuing excellence in execution through multiple internal initiatives focused on continuous improvement. This pursuit of high-quality service and operational execution directly supports our ability to offer a wide range of banking products.

Our retail banking products include deposit products, retail loans (such as vehicle and personal loans), and other products and services, such as private banking, depositary accounts, brokerage services, foreign exchange services, distribution of third-party products (such as insurance and mutual funds), bill payments and sale of gold and silver bullion. In addition, we are the largest credit card issuer in India with 15 million cards outstanding as of March 31, 2021. With respect to wholesale banking, we offer customers working capital loans, term loans, bill collections, letters of credit, guarantees, foreign exchange and derivative products and investment banking services. We also offer a range of deposit and transaction banking services such as cash management, custodial and clearing bank services and correspondent banking. We believe our large scale and low cost of funding enable us to pursue high-quality wholesale financing opportunities competitively and at an advantage compared to our peers. We collect taxes for the Government and are bankers to companies in respect of issuances of equity shares and bonds to the public. Our NBFC subsidiary HDBFSL offers loan and asset finance products including tractor loans, consumer loans and gold loans, as well as business process outsourcing solutions such as form processing, document verification, contact center management and other front and back-office services.

We are able to provide this wide range of products across our physical and digital network, meaning we can provide our targeted rural customers with banking products and services similar to those provided to our urban customers, which we believe gives us a competitive advantage. Our wide range of products and focus on superior service and execution also create multiple cross-selling opportunities for us and, we believe, promote customer retention.

We have achieved robust and consistent financial performance while maintaining a healthy asset quality during our growth

